rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
1832,CHEMBL38,TRETINOIN,5.5603019448510755,0.3,0.14285714285714285,CHEMBL5287332,7.0,0.20588235294117646,False,False,0.33074989526602433,1971.0,False,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
1833,CHEMBL705,ALITRETINOIN,5.5603019448510755,0.3,0.14285714285714285,CHEMBL5287332,7.0,0.20588235294117646,False,False,0.33074989526602433,1999.0,False,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
1834,CHEMBL547,ISOTRETINOIN,5.5603019448510755,0.3,0.14285714285714285,CHEMBL5287332,7.0,0.20588235294117646,False,False,0.33074989526602433,1982.0,False,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
1835,CHEMBL2104095,CHOLINE SALICYLATE,4.958206965172857,0.142,0.21568627450980393,CHEMBL4238561,7.060480747381382,0.3333333333333333,True,False,0.3306451612903226,,False,O=C([O-])c1ccccc1O
1836,CHEMBL980,GUAIFENESIN,5.030671700261233,0.014666666666666666,0.20833333333333334,CHEMBL6064497,7.154901959985743,0.5348837209302325,True,False,0.3306451612903226,2002.0,False,COc1ccccc1OCC(O)CO
1837,CHEMBL403,SULBACTAM,5.438201812907368,0.2612,0.15942028985507245,CHEMBL5814249,7.115204636051019,0.1864406779661017,False,False,0.33033095936321744,1986.0,False,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
1838,CHEMBL1624,LEVOTHYROXINE,5.0541411171381885,0.21066666666666667,0.2054794520547945,CHEMBL4568628,7.217076090663241,0.2962962962962963,False,False,0.33001675743611225,1982.0,False,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1839,CHEMBL559,DEXTROTHYROXINE,5.0541411171381885,0.21066666666666667,0.2054794520547945,CHEMBL4568628,7.217076090663241,0.2962962962962963,False,False,0.33001675743611225,1967.0,False,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1840,CHEMBL314854,FINGOLIMOD,4.894945715460633,0.106,0.22,CHEMBL6168947,7.0915149811213505,0.25,False,False,0.3295978215333054,2010.0,False,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
1841,CHEMBL2106556,CYCLOBARBITAL CALCIUM,5.4978229564598955,0.21386666666666668,0.1527777777777778,CHEMBL4636709,8.026970469807438,0.17543859649122806,False,False,0.32928361960620023,,True,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O
1842,CHEMBL1200436,OXANDROLONE,5.279310091281589,0.223,0.17721518987341772,CHEMBL4758026,8.18045606445813,0.19230769230769232,False,False,0.3291788856304986,1964.0,False,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
1843,CHEMBL1447476,BITHIONOLATE SODIUM,4.9229916713832145,0.134,0.21875,CHEMBL1224626,7.0,0.28888888888888886,False,False,0.3289694176790951,,True,[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-]
1844,CHEMBL1473,FLUTICASONE PROPIONATE,5.55388154045323,0.4002,0.14414414414414414,CHEMBL5914801,8.939302159646388,0.16666666666666666,False,False,0.3285504817762882,1990.0,False,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
1845,CHEMBL1084172,VILANTEROL TRIFENATATE,5.2247690955082735,0.21075,0.18518518518518517,CHEMBL5962376,7.186419011431808,0.2597402597402597,False,False,0.32844574780058655,2013.0,False,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O
1846,CHEMBL524,METHOXAMINE,4.94238108760307,0.11966666666666667,0.21666666666666667,CHEMBL5835163,7.060980223551334,0.41025641025641024,True,False,0.3284457478005865,1982.0,False,COc1ccc(OC)c(C(O)C(C)N)c1
1847,CHEMBL1282,IMIQUIMOD,4.7767838117672365,0.188,0.2222222222222222,CHEMBL4448402,7.1117947055963295,0.288135593220339,False,False,0.32813154587348137,1997.0,False,CC(C)Cn1cnc2c(N)nc3ccccc3c21
