molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL2030434,FLUDEOXYGLUCOSE F 18,OC[C@H]1OC(O)[C@H]([18F])[C@@H](O)[C@@H]1O,1994.0,5.67,5.59,5.63,0.07,4.24,4.42,4.24,0.127,0.127,0.098,False
CHEMBL2106643,MYCOPHENOLATE SODIUM,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2,2004.0,5.71,5.42,5.57,0.29,4.29,4.24,4.24,0.088,0.088,0.174,False
CHEMBL1200562,HYDROCORTISONE VALERATE,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1978.0,5.76,5.42,5.59,0.33,4.33,4.24,4.24,0.099,0.094,0.205,False
CHEMBL315795,CLOMETHIAZOLE,Cc1ncsc1CCCl,,5.67,5.59,5.63,0.08,4.24,4.42,4.24,0.127,0.127,0.14,False
CHEMBL1683,HYDROCORTISONE BUTYRATE,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1982.0,5.67,5.5,5.59,0.17,4.24,4.33,4.24,0.11,0.11,0.207,False
CHEMBL1200907,TRILOSTANE,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1984.0,5.72,5.42,5.57,0.31,4.3,4.24,4.24,0.094,0.094,0.141,False
CHEMBL1200845,HALCINONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,1974.0,5.67,5.56,5.62,0.1,4.24,4.39,4.24,0.116,0.116,0.205,False
CHEMBL4594350,ADAGRASIB,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,2022.0,6.01,5.41,5.71,0.6,4.59,4.24,4.24,0.122,0.116,0.179,False
CHEMBL4558324,LAZERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,2024.0,6.3,5.42,5.86,0.88,4.88,4.24,4.24,0.149,0.127,0.214,False
CHEMBL514800,APREMILAST,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,2014.0,6.25,5.42,5.84,0.83,4.82,4.24,4.24,0.144,0.122,0.259,False
CHEMBL119,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,1993.0,5.73,5.41,5.57,0.32,4.3,4.23,4.23,0.094,0.094,0.257,False
CHEMBL727,THIOGUANINE,Nc1nc2[nH]cnc2c(=S)[nH]1,1966.0,5.92,5.41,5.66,0.51,4.49,4.23,4.23,0.11,0.105,0.148,False
CHEMBL4650319,MOBOCERTINIB,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,2021.0,6.24,5.41,5.82,0.84,4.82,4.23,4.23,0.144,0.122,0.22,False
CHEMBL1873475,IBRUTINIB,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2013.0,6.25,5.4,5.82,0.84,4.82,4.23,4.23,0.144,0.122,0.188,False
CHEMBL927,CEFDINIR,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,1997.0,6.4,5.41,5.91,0.99,4.97,4.23,4.23,0.149,0.122,0.157,False
