clean_smiles,pIC50,molecule_chembl_id,n,pref_name,pains,MW,LogP,TPSA,QED,scaffold
N#CC1=C(N)Nc2[nH]c(=O)[nH]c(=O)c2C1c1cccc(Cl)c1,5.522878745280337,CHEMBL3913975,1,,False,315.72,0.9678800000000003,127.55999999999997,0.6231321011796694,O=c1[nH]c2c(c(=O)[nH]1)C(c1ccccc1)C=CN2
N#Cc1c(-c2cccc(Cl)c2)c2c(=O)[nH]c(=O)[nH]c2[nH]c1=O,5.522878745280337,CHEMBL3971895,1,,False,314.688,1.0967799999999996,122.36999999999998,0.6219584985161655,O=c1cc(-c2ccccc2)c2c(=O)[nH]c(=O)[nH]c2[nH]1
N#Cc1cc(-c2c[nH]c3cc(F)ccc23)ccc1S(=O)(=O)N1CCNCC1,6.136677139879544,CHEMBL6053460,1,,False,384.4360000000002,2.4395800000000003,88.99,0.7259126686915447,O=S(=O)(c1ccc(-c2c[nH]c3ccccc23)cc1)N1CCNCC1
N#Cc1ccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc1,6.301029995663981,CHEMBL4287152,1,,False,378.7940000000001,5.484780000000001,87.87,0.49212758684088465,c1ccc(Nc2coc3c(-c4ccccc4)nccc23)cc1
N#Cc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,4.921543181946707,CHEMBL5194494,1,,False,269.307,4.254780000000002,52.47,0.5611521482958114,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
N#Cc1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,7.180456064458132,CHEMBL4752502,1,,True,300.27700000000004,1.91438,88.63999999999999,0.5355148001396771,O=C1c2ccccc2C(=O)c2c1nnn2-c1ccccc1
N#Cc1ccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)cc1,6.404503778174426,CHEMBL4463063,2,,False,358.42000000000013,4.3802800000000035,44.85,0.682810546196392,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
N#Cc1ccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)cc1F,6.6307841425898575,CHEMBL5895301,1,,False,376.41000000000014,4.5193800000000035,44.85,0.6605883263804964,c1ccc(N2CCC(C3c4ccccc4-c4cncn43)CC2)cc1
N#Cc1ccc(NC(=O)C(=O)N2CCC(c3ccnc4ccc(F)cc34)CC2)cc1,5.259637310505756,CHEMBL4794331,1,,False,402.42900000000014,3.5902800000000017,86.09,0.663979495739827,O=C(Nc1ccccc1)C(=O)N1CCC(c2ccnc3ccccc23)CC1
N#Cc1ccc(Nc2c(N)oc3cnccc23)cc1,6.301029995663981,CHEMBL4286735,1,,False,250.261,3.0252800000000004,87.87,0.729402992126323,c1ccc(Nc2coc3cnccc23)cc1
N#Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc2c1,6.301029995663981,CHEMBL4278098,1,,False,317.27000000000004,4.6490800000000005,74.98,0.7212074060466013,c1ccc(Nc2coc3ccccc23)cc1
N#Cc1ccc2nccc(C3CCN(C(=O)C(=O)Nc4ccc(Cl)cc4)CC3)c2c1,5.214670164989233,CHEMBL4758583,1,,False,418.8840000000002,4.104580000000003,86.09,0.6344577278754157,O=C(Nc1ccccc1)C(=O)N1CCC(c2ccnc3ccccc23)CC1
N#Cc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,4.814457845145625,CHEMBL5184595,1,,False,269.307,4.254780000000002,52.47,0.5611521482958114,c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1
N#Cc1nccc2c(Nc3cc(F)cc(F)c3)c(N)oc12,6.301029995663981,CHEMBL4280522,1,,False,286.24100000000004,3.3034800000000013,87.87,0.7542041534127061,c1ccc(Nc2coc3cnccc23)cc1
N#Cc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,6.301029995663981,CHEMBL4283286,1,,False,336.24800000000005,4.18318,87.87,0.6854092362996964,c1ccc(Nc2coc3cnccc23)cc1
N#Cc1nccc2c(Nc3ccc(F)c(Cl)c3)c(NC(=O)OCc3ccccc3)oc12,6.301029995663981,CHEMBL4286487,1,,False,436.8300000000002,5.984280000000002,100.18,0.39858775766811333,O=C(Nc1oc2cnccc2c1Nc1ccccc1)OCc1ccccc1
NC(=O)CCNS(=O)(=O)c1ccc(-c2c[nH]c3cc(F)ccc23)cc1,6.136677139879544,CHEMBL5760772,1,,False,361.3980000000001,2.127700000000001,105.04999999999998,0.626148002609631,c1ccc(-c2c[nH]c3ccccc23)cc1
NC(=O)CNc1ccc(-c2c[nH]c3cc(F)ccc23)cn1,6.102372908709558,CHEMBL5819188,1,,False,284.294,2.2661999999999995,83.8,0.6868260227227241,c1cncc(-c2c[nH]c3ccccc23)c1
