r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
CC1CCC(*)CC1,CC(C1CCCCC1)*,2,-0.41,-0.32,-0.57,-0.25
CC1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.76,-0.29,-0.91,-0.62
CC1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-1.12,-0.55,-1.39,-0.85
CC1CCC(*)C1,C1CCC(*)CC1,2,0.11,-0.08,0.07,0.15
CC1CCC(*)C1,C1CCC(*)C1,2,0.02,-0.01,0.02,0.03
CC1CCC(*)C1,C1CCC(C*)CC1,2,-0.3,0.16,-0.22,-0.38
CC1CCC(*)C1,C1CCC(C*)C1,2,-0.29,-0.1,-0.34,-0.24
CC1CCC(*)C1,CC1CCCCC1C*,2,-0.42,-0.3,-0.57,-0.27
CC1CCC(*)C1,CC1CCCC1*,2,0.23,-0.92,-0.23,0.69
CC1CCCC1*,CC1(C)CCC(*)C1,2,-0.28,0.74,0.09,-0.65
CC1CCCC1*,CC1(C)CCC(C*)C1,2,-0.8,0.71,-0.44,-1.16
CC(C)*,O*,2,0.4,0.65,0.72,0.07
COC1CCCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.22,-0.09,-0.27,-0.18
COC1CCCC(*)C1,OC1CCC(*)CC1,2,0.11,0.16,0.19,0.03
COC1CCCC(*)C1,c1ccc(*)cc1,2,0.03,-0.52,-0.23,0.29
COC1CCCC(*)C1,C1CCCC(*)CC1,2,0.6,-0.08,0.55,0.64
COC1CCCC(*)C1,C1CCC(*)CC1,2,0.6,-0.09,0.56,0.65
COC1CCCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-0.43,-0.1,-0.48,-0.38
COC1CCCC(*)C1,C1CCC(*)C1,2,0.61,-0.04,0.59,0.63
COC1CCCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,0.1,-0.38,-0.09,0.29
COC1CCCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.23,-0.7,-0.58,0.12
COC1CCCC(*)C1,C1CC(*)C1,2,0.33,-0.07,0.3,0.36
COC1CCCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.33,-0.45,-0.56,-0.11
COc1cccc(*)c1,C1CCC(*)C1,2,1.13,0.31,1.28,0.97
COC1CCCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,0.24,-0.44,0.02,0.46
COC1CCCC(*)C1,Cc1ccccc1*,2,-0.42,-1.21,-1.03,0.18
COC1CCCC(*)C1,CCC1CCC(*)CC1,2,0.16,-0.15,0.08,0.23
COC1CCCC(*)C1,CC1CCCC(*)C1,2,0.58,-0.08,0.54,0.62
COC1CCCC(*)C1,CC1CCC(*)CC1,2,0.47,-0.2,0.37,0.57
COC1CCCC(*)C1,CC1(C)CCCC(*)C1,2,0.37,-0.64,0.06,0.69
COC1CCCC(*)C1,CC1(C)CCC(*)CC1,2,0.35,-0.34,0.18,0.53
COC1CCCC(*)C1,CC1(C)CCC(*)C1,2,0.59,-0.4,0.39,0.78
COC1CCCC(*)C1,CC1(*)CCCCC1,2,0.8,-0.6,0.51,1.1
COc1cccc(*)c1,CC1(C)CCC(*)CC1,2,0.92,0.35,1.1,0.75
COc1cccc(*)c1,c1ccc(*)cc1,2,0.53,0.14,0.6,0.46
CC1CCCC1*,CC1(C)CCC(C*)CC1,2,-0.99,0.65,-0.66,-1.32
Cc1ccccc1*,CC(C)(C)C1CCC(*)CC1,2,-0.23,0.46,0.01,-0.46
Cc1ccccc1*,CCC1CCC(*)CC1,2,0.58,1.06,1.11,0.05
Cc1ccccc1*,CC1CCCC(*)C1,2,1.0,1.13,1.57,0.44
Cc1ccccc1*,CC1CCC(*)CC1,2,0.89,1.01,1.4,0.39
Cc1ccccc1*,CC1(C)CCCC(*)C1,2,0.8,0.57,1.08,0.51
Cc1ccccc1*,CC1(C)CCC(*)CC1,2,0.78,0.87,1.21,0.34
Cc1ccccc1*,CC1(C)CCC(*)C1,2,1.01,0.81,1.41,0.6
Cc1ccccc1*,CC1(*)CCCCC1,2,1.23,0.61,1.53,0.92
Cc1ccccc1*,CC(C1CCCCC1)*,2,0.49,0.69,0.83,0.14
Cc1ccccc1*,CC(C)C1CCC(*)CC1,2,0.13,0.72,0.49,-0.23
Cc1cccc(*)c1,Cc1ccccc1*,2,-0.51,0.53,-0.25,-0.78
COc1ccccc1*,Clc1ccc(*)cc1,2,0.65,-0.14,0.58,0.72
Cc1cccc(*)c1,Cc1ccc(*)cc1,2,-0.27,1.08,0.27,-0.81
Cc1ccc(*)cc1,Clc1cccc(*)c1,2,0.08,0.07,0.12,0.04
Cc1ccc(*)cc1,Fc1ccc(*)cc1,2,-0.08,0.17,0.0,-0.17
Cc1ccc(*)cc1,Cc1ccccc1*,2,-0.25,-0.54,-0.52,0.02
Cc1ccc(*)cc1,Cc1cccc(*)c1,2,0.27,-1.08,-0.27,0.81
COc1ccccc1*,c1cc(*)cs1,2,0.74,-0.15,0.67,0.81
COc1ccccc1*,Fc1ccccc1*,2,0.81,-0.21,0.7,0.91
COc1ccccc1*,Clc1ccccc1*,2,0.09,-0.52,-0.17,0.35
COc1ccccc1*,Fc1cccc(*)c1,2,0.99,-0.09,0.95,1.04
COC1CCCC(*)C1,CC(C1CCCCC1)*,2,0.06,-0.52,-0.19,0.32
COC1CCCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.29,-0.49,-0.54,-0.04
COC1CCCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-0.65,-0.75,-1.02,-0.28
CC1CCCCC1C*,CC1(C)CCC(*)CC1,2,0.18,0.35,0.35,0.01
CC1CCCCC1C*,C1CCC(*)C1,2,0.44,0.29,0.58,0.3
CC1CCCCC1C*,C1CCC(C*)CC1,2,0.11,0.46,0.34,-0.11
CC1CCCCC1C*,C1CCC(C*)C1,2,0.13,0.2,0.23,0.03
CC1CCCCC1C*,CC1CCCC1*,2,0.65,-0.63,0.33,0.96
CC1CCCCC1C*,CC1CCCC(C*)C1,2,-0.0,0.24,0.12,-0.12
CC1CCCCC1C*,CC1CCC(*)CC1,2,0.23,0.29,0.37,0.08
CC1CCCCC1C*,CC1CCC(*)C1,2,0.42,0.3,0.57,0.27
CC1CCCCC1C*,CC1(C)CCC(C*)CC1,2,-0.34,0.03,-0.33,-0.35
CC1CCCCC1C*,CC1(C)CCC(C*)C1,2,-0.15,0.09,-0.11,-0.2
CC1CCCCC1C*,CC1(C)CCC(*)C1,2,0.37,0.11,0.42,0.31
CCC1CCC(*)CC1,OC1CCC(*)CC1,2,-0.05,0.31,0.11,-0.2
CC1CCCCC1C*,CC1(C)CC(*)C1,2,0.7,0.75,1.08,0.33
CC1CCCC1*,C1CCC(*)CC1,2,-0.12,0.84,0.3,-0.55
CC1CCCC1*,C1CCC(*)C1,2,-0.21,0.91,0.25,-0.66
CC1CCCC1*,C1CCC(C*)CC1,2,-0.53,1.08,0.01,-1.07
CC1CCCC1*,C1CCC(C*)C1,2,-0.52,0.83,-0.1,-0.93
CC1CCCC1*,CC1CCCCC1C*,2,-0.65,0.63,-0.33,-0.96
CC1CCCC1*,CC1CCCC(C*)C1,2,-0.65,0.87,-0.22,-1.08
CC1CCCC1*,CC1CCC(*)CC1,2,-0.42,0.92,0.04,-0.88
CC1CCCC1*,CC1CCC(*)C1,2,-0.23,0.92,0.23,-0.69
CC1CCCCC1C*,C1CCC(*)CC1,2,0.52,0.22,0.63,0.42
CCC1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-0.8,-0.59,-1.1,-0.51
CCC1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.45,-0.34,-0.62,-0.28
CCC1CCC(*)CC1,CC(C1CCCCC1)*,2,-0.09,-0.37,-0.27,0.09
CCC1CCC(*)CC1,c1ccc(*)cc1,2,-0.12,-0.37,-0.31,0.06
CCC1CCC(*)CC1,C1CCCC(*)CC1,2,0.44,0.07,0.47,0.41
CCC1CCC(*)CC1,C1CCC(*)CC1,2,0.45,0.06,0.48,0.42
CCC1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.59,0.05,-0.56,-0.61
CCC1CCC(*)CC1,C1CCC(*)C1,2,0.45,0.11,0.51,0.4
CCC1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.05,-0.23,-0.17,0.06
CCC1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.39,-0.55,-0.66,-0.11
CCC1CCC(*)CC1,C1CC(*)C1,2,0.18,0.08,0.22,0.13
CCC1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.38,0.06,-0.35,-0.41
CCC1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.49,-0.3,-0.64,-0.34
CCC1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,0.09,-0.29,-0.06,0.23
CCC1CCC(*)CC1,Cc1ccccc1*,2,-0.58,-1.06,-1.11,-0.05
CCC1CCC(*)CC1,COC1CCCC(*)C1,2,-0.16,0.15,-0.08,-0.23
CCC1CCC(*)CC1,CC1CCCC(*)C1,2,0.42,0.07,0.46,0.39
CCC1CCC(*)CC1,CC1CCC(*)CC1,2,0.32,-0.05,0.29,0.34
CCC1CCC(*)CC1,CC1(C)CCCC(*)C1,2,0.22,-0.48,-0.02,0.46
CCC1CCC(*)CC1,CC1(C)CCC(*)CC1,2,0.2,-0.19,0.1,0.29
CCC1CCC(*)CC1,CC1(C)CCC(*)C1,2,0.43,-0.24,0.31,0.55
CCC1CCC(*)CC1,CC1(*)CCCCC1,2,0.65,-0.44,0.43,0.87
CC1(C)CCCC(*)C1,CC1(C)CCC(*)CC1,2,-0.02,0.29,0.13,-0.17
CC1(C)CCCC(*)C1,CC1(C)CCC(*)C1,2,0.21,0.24,0.33,0.09
CC1(C)CCCC(*)C1,CC1(*)CCCCC1,2,0.43,0.04,0.45,0.41
CC(C)C1CCC(*)CC1,OC1CCC(*)CC1,2,0.4,0.65,0.72,0.07
CC(C1CCCCC1)*,CCC1CCC(*)CC1,2,0.09,0.37,0.27,-0.09
CC(C1CCCCC1)*,CC1CCCC(*)C1,2,0.52,0.44,0.73,0.3
CC(C1CCCCC1)*,CC1CCC(*)CC1,2,0.41,0.32,0.57,0.25
CC(C1CCCCC1)*,CC1(C)CCCC(*)C1,2,0.31,-0.12,0.25,0.37
CC(C1CCCCC1)*,CC1(C)CCC(*)CC1,2,0.29,0.18,0.38,0.2
CC(C1CCCCC1)*,CC1(C)CCC(*)C1,2,0.52,0.12,0.58,0.46
CC(C1CCCCC1)*,CC1(*)CCCCC1,2,0.74,-0.08,0.7,0.78
CC(C1CCCCC1)*,CC(C)C1CCC(*)CC1,2,-0.35,0.03,-0.34,-0.37
CC(C1CCCCC1)*,CC(C)(C)C1CCC(*)CC1,2,-0.71,-0.23,-0.83,-0.6
CC(C)C1CCC(*)CC1,c1ccc(*)cc1,2,0.32,-0.03,0.31,0.34
CC(C1CCCCC1)*,Cc1ccccc1*,2,-0.49,-0.69,-0.83,-0.14
CC(C)C1CCC(*)CC1,C1CCCC(*)CC1,2,0.89,0.41,1.09,0.68
CC(C)C1CCC(*)CC1,C1CCC(*)CC1,2,0.9,0.4,1.09,0.7
CC(C)C1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.14,0.39,0.05,-0.34
CC(C)C1CCC(*)CC1,C1CCC(*)C1,2,0.9,0.45,1.13,0.67
CC(C)C1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,0.39,0.11,0.45,0.34
CC(C)C1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,0.06,-0.21,-0.05,0.17
CC(C)C1CCC(*)CC1,C1CC(*)C1,2,0.62,0.42,0.83,0.41
CC(C)C1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,0.07,0.4,0.26,-0.13
CC(C)C1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.04,0.04,-0.02,-0.06
CC(C1CCCCC1)*,COC1CCCC(*)C1,2,-0.06,0.52,0.19,-0.32
CC(C1CCCCC1)*,FC(F)(F)C1CCC(*)CC1,2,0.18,0.08,0.22,0.14
CC1(C)CCCC(*)C1,CC(C1CCCCC1)*,2,-0.31,0.12,-0.25,-0.37
CC1(*)CCCCC1,CC(C)(C)C1CCC(*)CC1,2,-1.45,-0.15,-1.53,-1.38
CC1(*)CCCCC1,Cc1ccccc1*,2,-1.23,-0.61,-1.53,-0.92
CC1(*)CCCCC1,COC1CCCC(*)C1,2,-0.8,0.6,-0.51,-1.1
CC1(*)CCCCC1,CCC1CCC(*)CC1,2,-0.65,0.44,-0.43,-0.87
CC1(*)CCCCC1,CC1CCCC(*)C1,2,-0.22,0.52,0.03,-0.48
CC1(*)CCCCC1,CC1CCC(*)CC1,2,-0.33,0.4,-0.13,-0.53
CC1(*)CCCCC1,CC1(C)CCCC(*)C1,2,-0.43,-0.04,-0.45,-0.41
CC1(*)CCCCC1,CC1(C)CCC(*)CC1,2,-0.45,0.25,-0.32,-0.58
CC1(*)CCCCC1,CC(C1CCCCC1)*,2,-0.74,0.08,-0.7,-0.78
CC1(*)CCCCC1,CC(C)C1CCC(*)CC1,2,-1.09,0.1,-1.04,-1.15
CC(C1CCCCC1)*,OC1CCC(*)CC1,2,0.04,0.68,0.38,-0.3
CC(C1CCCCC1)*,C1CC(C2CCC(*)CC2)C1,2,-0.4,0.07,-0.36,-0.43
CC(C1CCCCC1)*,c1ccc(*)cc1,2,-0.03,-0.0,-0.03,-0.03
CC(C1CCCCC1)*,C1CCCC(*)CC1,2,0.53,0.43,0.75,0.31
CC(C1CCCCC1)*,C1CCC(*)CC1,2,0.54,0.42,0.75,0.33
CC(C1CCCCC1)*,c1ccc(C2CCCC2*)cc1,2,-0.5,0.41,-0.29,-0.7
CC(C1CCCCC1)*,C1CCC(*)C1,2,0.55,0.48,0.78,0.31
CC(C1CCCCC1)*,FC(F)(F)C1CCCC(*)C1,2,0.04,0.14,0.11,-0.03
CC(C1CCCCC1)*,C1CCC2CC(*)CCC2C1,2,-0.29,-0.19,-0.39,-0.2
CC(C1CCCCC1)*,C1CC(*)C1,2,0.27,0.45,0.49,0.04
CC(C1CCCCC1)*,c1ccc(C2CCC(*)CC2)cc1,2,-0.29,0.42,-0.08,-0.5
CC(C)C1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,0.53,0.05,0.56,0.51
CC(C)C1CCC(*)CC1,Cc1ccccc1*,2,-0.13,-0.72,-0.49,0.23
CC(C)C1CCC(*)CC1,COC1CCCC(*)C1,2,0.29,0.49,0.54,0.04
O*,C1CC(*)C1,2,-0.44,-0.61,-0.74,-0.13
CC(C)(C)C1CCC(*)CC1,CC1CCCC(*)C1,2,1.23,0.67,1.56,0.89
CC(C)(C)C1CCC(*)CC1,CC1CCC(*)CC1,2,1.12,0.55,1.39,0.85
CC(C)(C)C1CCC(*)CC1,CC1(C)CCCC(*)C1,2,1.02,0.11,1.08,0.97
CC(C)(C)C1CCC(*)CC1,CC1(C)CCC(*)CC1,2,1.0,0.4,1.2,0.8
CC(C)(C)C1CCC(*)CC1,CC1(C)CCC(*)C1,2,1.23,0.35,1.41,1.06
CC(C)(C)C1CCC(*)CC1,CC1(*)CCCCC1,2,1.45,0.15,1.53,1.38
CC(C)(C)C1CCC(*)CC1,CC(C1CCCCC1)*,2,0.71,0.23,0.83,0.6
CC(C)(C)C1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,0.36,0.25,0.48,0.23
O*,c1ccc(*)cc1,2,-0.33,-0.25,-0.46,-0.2
O*,FC(F)(F)*,2,0.14,-0.6,-0.16,0.44
CC(C)C1CCC(*)CC1,CCC1CCC(*)CC1,2,0.45,0.34,0.62,0.28
O*,CC*,2,0.05,-0.31,-0.11,0.2
O*,C*,2,0.36,-0.36,0.19,0.54
O*,CC(C)*,2,-0.4,-0.65,-0.72,-0.07
O*,CC(C)(C)*,2,-0.75,-0.9,-1.21,-0.3
c1ccc(*)cc1,O*,2,0.33,0.25,0.46,0.2
C1CC(*)C1,O*,2,0.44,0.61,0.74,0.13
FC(F)(F)*,O*,2,-0.14,0.6,0.16,-0.44
CC*,O*,2,-0.05,0.31,0.11,-0.2
C*,O*,2,-0.36,0.36,-0.19,-0.54
CC(C)(C)C1CCC(*)CC1,CCC1CCC(*)CC1,2,0.8,0.59,1.1,0.51
CC(C)(C)C1CCC(*)CC1,COC1CCCC(*)C1,2,0.65,0.75,1.02,0.28
CC(C)(C)C1CCC(*)CC1,Cc1ccccc1*,2,0.23,-0.46,-0.01,0.46
CC(C)(C)C1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,0.89,0.3,1.04,0.74
CC(C)C1CCC(*)CC1,CC1CCCC(*)C1,2,0.87,0.41,1.08,0.66
CC(C)C1CCC(*)CC1,CC1CCC(*)CC1,2,0.76,0.29,0.91,0.62
CC(C)C1CCC(*)CC1,CC1(C)CCCC(*)C1,2,0.67,-0.15,0.59,0.74
CC(C)C1CCC(*)CC1,CC1(C)CCC(*)CC1,2,0.65,0.15,0.72,0.57
CC(C)C1CCC(*)CC1,CC1(C)CCC(*)C1,2,0.88,0.1,0.92,0.83
CC(C)C1CCC(*)CC1,CC1(*)CCCCC1,2,1.09,-0.1,1.04,1.15
CC(C)C1CCC(*)CC1,CC(C1CCCCC1)*,2,0.35,-0.03,0.34,0.37
CC(C)C1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-0.36,-0.25,-0.48,-0.23
CC(C)(C)C1CCC(*)CC1,OC1CCC(*)CC1,2,0.75,0.9,1.21,0.3
CC(C)(C)C1CCC(*)CC1,c1ccc(*)cc1,2,0.68,0.22,0.79,0.57
CC(C)(C)C1CCC(*)CC1,C1CCCC(*)CC1,2,1.24,0.66,1.57,0.91
CC(C)(C)C1CCC(*)CC1,C1CCC(*)CC1,2,1.25,0.65,1.58,0.93
CC(C)(C)C1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,0.22,0.64,0.54,-0.11
CC(C)(C)C1CCC(*)CC1,C1CCC(*)C1,2,1.26,0.71,1.61,0.91
CC(C)(C)C1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,0.75,0.37,0.93,0.57
CC(C)(C)C1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,0.42,0.04,0.44,0.4
CC(C)(C)C1CCC(*)CC1,C1CC(*)C1,2,0.98,0.68,1.32,0.64
CC(C)(C)C1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,0.42,0.65,0.75,0.1
CC(C)(C)C1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,0.32,0.29,0.46,0.17
CC1(*)CCCCC1,C1CCC(C*)CC1,2,-0.42,0.55,-0.15,-0.7
CC1(*)CCCCC1,FC(F)(F)C1CCC(*)CC1,2,-0.56,0.15,-0.48,-0.64
CC1(*)CCCCC1,C1CC(C2CCC(*)CC2)C1,2,-1.14,0.14,-1.06,-1.21
CC1(C)CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.69,-0.11,-0.74,-0.63
CC1(C)CCC(C*)C1,CC1(C)CC(*)C1,2,0.85,0.66,1.18,0.52
CC1(C)CCC(*)CC1,OC1CCC(*)CC1,2,-0.25,0.5,0.0,-0.5
CC1(C)CCC(*)CC1,c1ccc(*)cc1,2,-0.32,-0.18,-0.41,-0.23
CC1(C)CCC(*)CC1,C1CCCC(*)CC1,2,0.24,0.26,0.37,0.11
CC1(C)CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.79,0.24,-0.67,-0.91
CC1(C)CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.25,-0.04,-0.27,-0.23
CC1(C)CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.59,-0.36,-0.77,-0.4
CC1(C)CCC(*)CC1,C1CC(*)C1,2,-0.02,0.27,0.11,-0.16
CC1(C)CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.58,0.25,-0.46,-0.7
CC1(C)CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,-0.11,-0.1,-0.16,-0.06
CC1(C)CCC(*)CC1,CC1(C)CCCC(*)C1,2,0.02,-0.29,-0.13,0.17
CC1(C)CCC(*)CC1,C1CCC(C*)CC1,2,-0.07,0.11,-0.01,-0.12
CC1(C)CCC(*)CC1,C1CCC(C*)C1,2,-0.05,-0.15,-0.12,0.02
CC1(C)CCC(*)CC1,Cc1ccccc1*,2,-0.78,-0.87,-1.21,-0.34
CC1(C)CCC(*)CC1,COc1cccc(*)c1,2,-0.92,-0.35,-1.1,-0.75
CC1(C)CCC(*)CC1,COC1CCCC(*)C1,2,-0.35,0.34,-0.18,-0.53
CC1(C)CCC(*)CC1,CCC1CCC(*)CC1,2,-0.2,0.19,-0.1,-0.29
CC1(C)CCC(*)CC1,CC1CCCCC1C*,2,-0.18,-0.35,-0.35,-0.01
CC1(C)CCC(*)CC1,CC1CCCC1*,2,0.47,-0.97,-0.02,0.95
CC1(C)CCC(*)CC1,CC1CCCC(C*)C1,2,-0.18,-0.11,-0.24,-0.13
CC1(C)CCC(C*)C1,CC1(C)CCC(*)C1,2,0.52,0.03,0.53,0.51
CC1(C)CCC(C*)C1,CC1(C)CCC(*)CC1,2,0.33,0.26,0.46,0.2
CC1(C)CCC(C*)C1,CC1(C)CCC(C*)CC1,2,-0.19,-0.06,-0.22,-0.16
CC1(C)CCC(C*)C1,CC1CCC(*)C1,2,0.57,0.21,0.68,0.47
CC1(C)CCCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.67,0.15,-0.59,-0.74
CC1(C)CCCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-1.02,-0.11,-1.08,-0.97
CC1(C)CCC(C*)CC1,c1csc(*)c1,2,-0.09,-0.24,-0.21,0.03
CC1(C)CCC(C*)CC1,CC1CCCCC1C*,2,0.34,-0.03,0.33,0.35
CC1(C)CCC(C*)CC1,CC1CCCC1*,2,0.99,-0.65,0.66,1.32
CC1(C)CCC(C*)CC1,CC1CCCC(C*)C1,2,0.34,0.21,0.44,0.23
CC1(C)CCC(C*)CC1,CC1CCC(*)CC1,2,0.57,0.26,0.7,0.44
CC1(C)CCC(C*)CC1,CC1CCC(*)C1,2,0.76,0.27,0.89,0.62
CC1(C)CCC(C*)CC1,CC1(C)CCC(C*)C1,2,0.19,0.06,0.22,0.16
CC1(C)CCC(C*)CC1,CC1(C)CCC(*)CC1,2,0.52,0.32,0.68,0.36
CC1(C)CCC(C*)C1,c1ccc(*)cc1,2,-0.22,0.32,-0.06,-0.38
CC1(C)CCC(C*)C1,C1CCC(*)CC1,2,0.68,0.13,0.74,0.61
CC1(C)CCC(C*)C1,C1CCC(*)C1,2,0.59,0.2,0.69,0.49
CC1(C)CCC(C*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.37,1.18,0.22,-0.96
CC1(C)CCC(C*)C1,C1CCC(C*)C1,2,0.28,0.11,0.34,0.23
CC1(C)CCC(C*)C1,CC1CCCCC1C*,2,0.15,-0.09,0.11,0.2
CC1(C)CCC(C*)C1,CC1CCCC1*,2,0.8,-0.71,0.44,1.16
CC1(C)CCC(C*)C1,CC1CCCC(C*)C1,2,0.15,0.15,0.22,0.07
CC1(C)CCC(C*)C1,CC1CCC(*)CC1,2,0.38,0.2,0.48,0.28
CC1(C)CCC(*)CC1,CC1CCC(*)C1,2,0.24,-0.05,0.21,0.26
CC1(C)CCC(*)CC1,CC1(C)CCC(C*)CC1,2,-0.52,-0.32,-0.68,-0.36
CC1(*)CCCCC1,c1ccc(C2CCC(*)CC2)cc1,2,-1.03,0.5,-0.78,-1.28
CC1(C)CC(*)C1,CC1CCC(*)CC1,2,-0.47,-0.46,-0.7,-0.24
CC1(C)CCC(*)C1,CC1(C)CCC(C*)C1,2,-0.52,-0.03,-0.53,-0.51
CC1(C)CCC(*)C1,CC(C1CCCCC1)*,2,-0.52,-0.12,-0.58,-0.46
CC1(C)CCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.88,-0.1,-0.92,-0.83
CC1(C)CCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-1.23,-0.35,-1.41,-1.06
CC1(C)CC(*)C1,c1csc(*)c1,2,-1.03,-0.66,-1.36,-0.7
CC1(C)CC(*)C1,C1CCCC(C*)CC1,2,-0.43,-0.45,-0.65,-0.2
CC1(C)CC(*)C1,CC1CCCCC1C*,2,-0.7,-0.75,-1.08,-0.33
CC1(C)CC(*)C1,CC1CCCC1*,2,-0.05,-1.38,-0.74,0.63
CC1(C)CC(*)C1,CC1CCCC(C*)C1,2,-0.7,-0.51,-0.96,-0.45
CC1(C)CC(*)C1,CC1CCC(*)C1,2,-0.28,-0.45,-0.51,-0.06
CC1(C)CCC(*)CC1,CC1(C)CCC(C*)C1,2,-0.33,-0.26,-0.46,-0.2
CC1(C)CC(*)C1,CC1(C)CCC(C*)C1,2,-0.85,-0.66,-1.18,-0.52
CC1(C)CC(*)C1,CC1(C)CCC(*)CC1,2,-0.52,-0.4,-0.72,-0.32
CC1(*)CCCCC1,OC1CCC(*)CC1,2,-0.7,0.75,-0.32,-1.07
CC1(*)CCCCC1,c1csc(*)c1,2,-1.14,0.23,-1.03,-1.26
CC1(*)CCCCC1,C1CCCC(*)CC1,2,-0.21,0.51,0.05,-0.46
CC1(*)CCCCC1,c1ccc(C2CCCC2*)cc1,2,-1.24,0.49,-0.99,-1.48
CC1(*)CCCCC1,FC(F)(F)C1CCCC(*)C1,2,-0.7,0.22,-0.59,-0.81
CC1(*)CCCCC1,C1CCC2CC(*)CCC2C1,2,-1.03,-0.11,-1.09,-0.98
CC1(*)CCCCC1,C1CC(*)C1,2,-0.47,0.53,-0.21,-0.74
CC1(C)CCC(*)C1,CC1(C)CCCC(*)C1,2,-0.21,-0.24,-0.33,-0.09
CC1(C)CCC(*)C1,CC1CCC(*)C1,2,0.05,0.18,0.14,-0.04
CC1(C)CCC(*)C1,CC1CCCC(C*)C1,2,-0.37,0.13,-0.31,-0.43
CC1(C)CCC(*)C1,CC1CCCC1*,2,0.28,-0.74,-0.09,0.65
CC1(C)CCC(*)CC1,CC1(C)CC(*)C1,2,0.52,0.4,0.72,0.32
CC1(C)CCC(*)CC1,CC1(*)CCCCC1,2,0.45,-0.25,0.32,0.58
CC1(C)CCC(*)CC1,CC(C1CCCCC1)*,2,-0.29,-0.18,-0.38,-0.2
CC1(C)CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.65,-0.15,-0.72,-0.57
CC1(C)CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-1.0,-0.4,-1.2,-0.8
CC1(C)CCC(*)C1,OC1CCC(*)CC1,2,-0.48,0.55,-0.2,-0.76
CC1(C)CCC(*)C1,c1csc(*)c1,2,-0.61,-0.18,-0.7,-0.52
CC1(C)CCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-1.02,0.29,-0.87,-1.16
CC1(C)CCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,-0.48,0.01,-0.48,-0.49
CC1(C)CCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.82,-0.31,-0.97,-0.66
CC1(C)CCC(*)C1,C1CC(*)C1,2,-0.25,0.33,-0.09,-0.42
CC1(C)CCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.81,0.3,-0.66,-0.96
CC1(C)CCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.92,-0.06,-0.94,-0.89
CC1(C)CCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,-0.34,-0.05,-0.37,-0.32
CC1(C)CCC(*)C1,C1CCC(C*)CC1,2,-0.25,0.34,-0.08,-0.42
