molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Ki,,,,,CHEMBL1909046,
CHEMBL558551,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,IC50,,,,,CHEMBL1909046,
CHEMBL558551,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Ki,,,,,CHEMBL1909046,
CHEMBL101168,Nn1nnc2ccccc21,IC50,,,,,CHEMBL1909046,
CHEMBL101168,Nn1nnc2ccccc21,Ki,,,,,CHEMBL1909046,
CHEMBL577294,CC(O)COC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]8COCC(C)O)O[C@@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@@H]3COCC(C)O,IC50,,,,,CHEMBL1909046,
CHEMBL577294,CC(O)COC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]8COCC(C)O)O[C@@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@@H]3COCC(C)O,Ki,,,,,CHEMBL1909046,
CHEMBL1105,COc1ccc2cc(CC(=O)O)ccc2c1,IC50,=,nM,4113.0,5.39,CHEMBL1909046,
CHEMBL1105,COc1ccc2cc(CC(=O)O)ccc2c1,Ki,,,,,CHEMBL1909046,
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,,,,,CHEMBL1909046,
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,Ki,,,,,CHEMBL1909046,
CHEMBL1601669,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,,,,CHEMBL1909046,
CHEMBL1601669,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,,,,,CHEMBL1909046,
CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,IC50,,,,,CHEMBL1909046,
CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Ki,,,,,CHEMBL1909046,
CHEMBL461727,N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,IC50,,,,,CHEMBL1909046,
